
========================================

    *** Synset Distribution ***

    domestic_cat.n.01  pct_total=0.12|pct_this=0.12|total_hits=32|this_hits=32|below_hits=0|total_found=11|this_found=11|below_found=0|total_not_found=937|this_not_found=937|below_not_found=0
    dog.n.01  pct_total=2.16|pct_this=2.16|total_hits=189187|this_hits=189187|below_hits=0|total_found=202|this_found=202|below_found=0|total_not_found=500|this_not_found=500|below_not_found=0
  darter.n.02  pct_total=1.05|pct_this=1.05|total_hits=2041|this_hits=2041|below_hits=0|total_found=98|this_found=98|below_found=0|total_not_found=130|this_not_found=130|below_not_found=0
  critter.n.01  pct_total=1.81|pct_this=1.81|total_hits=30507|this_hits=30507|below_hits=0|total_found=169|this_found=169|below_found=0|total_not_found=59|this_not_found=59|below_not_found=0
  creepy-crawly.n.01  pct_total=0.01|pct_this=0.01|total_hits=1|this_hits=1|below_hits=0|total_found=1|this_found=1|below_found=0|total_not_found=229|this_not_found=229|below_not_found=0
  chordate.n.01  pct_total=0.30|pct_this=0.06|total_hits=193|this_hits=24|below_hits=169|total_found=28|this_found=6|below_found=22|total_not_found=1568|this_not_found=222|below_not_found=1346
    vertebrate.n.01  pct_total=0.07|pct_this=0.07|total_hits=55|this_hits=55|below_hits=0|total_found=7|this_found=7|below_found=0|total_not_found=449|this_not_found=449|below_not_found=0
    tunicate.n.01  pct_total=0.15|pct_this=0.15|total_hits=110|this_hits=110|below_hits=0|total_found=14|this_found=14|below_found=0|total_not_found=670|this_not_found=670|below_not_found=0
    cephalochordate.n.01  pct_total=0.01|pct_this=0.01|total_hits=4|this_hits=4|below_hits=0|total_found=1|this_found=1|below_found=0|total_not_found=227|this_not_found=227|below_not_found=0
  captive.n.02  pct_total=0.62|pct_this=0.62|total_hits=1054|this_hits=1054|below_hits=0|total_found=58|this_found=58|below_found=0|total_not_found=170|this_not_found=170|below_not_found=0
  biped.n.01  pct_total=0.16|pct_this=0.16|total_hits=191|this_hits=191|below_hits=0|total_found=15|this_found=15|below_found=0|total_not_found=213|this_not_found=213|below_not_found=0
  adult.n.02  pct_total=1.42|pct_this=1.42|total_hits=4356|this_hits=4356|below_hits=0|total_found=133|this_found=133|below_found=0|total_not_found=95|this_not_found=95|below_not_found=0
  acrodont.n.01  pct_total=0.01|pct_this=0.01|total_hits=4|this_hits=4|below_hits=0|total_found=1|this_found=1|below_found=0|total_not_found=227|this_not_found=227|below_not_found=0

========================================

    *** Searched Lemma ***

Identifier: animal.n.01
Synonyms: ['animal', 'animate_being', 'beast', 'brute', 'creature', 'fauna']
Definition: a living organism characterized by voluntary movement
Examples: []

    *** Stats ***

Total Passwords Searched: 40029 (100.00%)
Total Passwords (Success): 9341 (23.34%)
Total Passwords (Failure): 30688 (76.66%)
Total hits for password searches: 1404651 (35.09 hits per password)

Pct Found Passwords (Total): 0.25469%
Pct Not Found Passwords (Total): 99.74531%
Starting Time: 20190522_09.23.33
Finishing Time: 20190522_09.29.32
